!Thresh(eV)                 0.0                         0.02                        0.29                        0.291                       0.59                        0.88                        1.17                        1.47                        1.76                        11.03                       11.87                       12.25                       13.0                        2.06                        2.35                        6.17                        7.0                         7.35                        7.36                        7.8                         8.16                        8.4                         8.55                        8.89                        15.6                        18.8                        
!Reaction                   e+N2(X1)->e+N2(X1)          e+N2(X1)->e+N2(Rot)         e+N2(X1)->e+N2(v1)          e+N2(X1)->e+N2(v1res)       e+N2(X1)->e+N2(v2)          e+N2(X1)->e+N2(v3)          e+N2(X1)->e+N2(v4)          e+N2(X1)->e+N2(v5)          e+N2(X1)->e+N2(v6)          e+N2(X1)->e+N2(C3)          e+N2(X1)->e+N2(e3)          e+N2(X1)->e+N2(a''1)        e+N2(X1)->e+N2(SUM)         e+N2(X1)->e+N2(v7)          e+N2(X1)->e+N2(v8)          e+N2(X1)->e+N2(A3,v0-4)     e+N2(X1)->e+N2(A3,v5-9)     e+N2(X1)->e+N2(B3)          e+N2(X1)->e+N2(W3)          e+N2(X1)->e+N2(A3,v10-)     e+N2(X1)->e+N2(B'3)         e+N2(X1)->e+N2(a'1)         e+N2(X1)->e+N2(a1)          e+N2(X1)->e+N2(w1)          e+N2(X1)->e+e+N2(X2:ion)    e+N2(X1)->e+e+N2(X2:ion:B2SIGMA)
!Type                       Effective                   Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Excitation                  Ionization                  Ionization                  
!<E> (eV)                   Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        Rate_Constant(m^3/s)        
!-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1.867e+01                   1.887e-13                   1.373e-14                   1.036e-15                   6.746e-16                   8.466e-16                   7.869e-16                   4.662e-16                   3.114e-16                   2.155e-16                   1.835e-16                   1.580e-16                   3.644e-15                   6.815e-17                   3.547e-16                   1.907e-14                   8.856e-17                   4.337e-17                   1.795e-16                   7.680e-16                   2.059e-15                   2.325e-15                   7.650e-16                   7.017e-16                   5.450e-16                   2.706e-15                   5.860e-16
1.916e+01                   1.889e-13                   1.456e-14                   1.102e-15                   6.513e-16                   8.480e-16                   7.592e-16                   4.509e-16                   3.003e-16                   2.084e-16                   1.771e-16                   1.527e-16                   3.653e-15                   6.852e-17                   3.598e-16                   1.990e-14                   8.561e-17                   4.192e-17                   1.801e-16                   7.708e-16                   2.060e-15                   2.326e-15                   7.684e-16                   7.042e-16                   5.476e-16                   2.746e-15                   5.851e-16
1.966e+01                   1.891e-13                   1.541e-14                   1.169e-15                   6.293e-16                   8.487e-16                   7.324e-16                   4.360e-16                   2.901e-16                   2.012e-16                   1.713e-16                   1.476e-16                   3.659e-15                   6.885e-17                   3.645e-16                   2.073e-14                   8.278e-17                   4.048e-17                   1.806e-16                   7.729e-16                   2.060e-15                   2.326e-15                   7.710e-16                   7.062e-16                   5.498e-16                   2.783e-15                   5.839e-16
2.015e+01                   1.893e-13                   1.626e-14                   1.237e-15                   6.083e-16                   8.490e-16                   7.076e-16                   4.208e-16                   2.805e-16                   1.941e-16                   1.657e-16                   1.426e-16                   3.663e-15                   6.918e-17                   3.688e-16                   2.156e-14                   8.001e-17                   3.912e-17                   1.809e-16                   7.746e-16                   2.058e-15                   2.324e-15                   7.731e-16                   7.077e-16                   5.518e-16                   2.819e-15                   5.823e-16
2.064e+01                   1.894e-13                   1.712e-14                   1.305e-15                   5.886e-16                   8.486e-16                   6.856e-16                   4.064e-16                   2.716e-16                   1.878e-16                   1.602e-16                   1.379e-16                   3.663e-15                   6.922e-17                   3.728e-16                   2.237e-14                   7.740e-17                   3.790e-17                   1.812e-16                   7.757e-16                   2.056e-15                   2.321e-15                   7.747e-16                   7.089e-16                   5.535e-16                   2.852e-15                   5.805e-16
2.112e+01                   1.895e-13                   1.798e-14                   1.374e-15                   5.699e-16                   8.479e-16                   6.642e-16                   3.934e-16                   2.626e-16                   1.820e-16                   1.550e-16                   1.336e-16                   3.661e-15                   6.957e-17                   3.765e-16                   2.318e-14                   7.498e-17                   3.676e-17                   1.813e-16                   7.763e-16                   2.052e-15                   2.316e-15                   7.758e-16                   7.096e-16                   5.550e-16                   2.884e-15                   5.784e-16
2.161e+01                   1.895e-13                   1.885e-14                   1.443e-15                   5.523e-16                   8.466e-16                   6.435e-16                   3.817e-16                   2.543e-16                   1.765e-16                   1.501e-16                   1.295e-16                   3.657e-15                   6.960e-17                   3.799e-16                   2.398e-14                   7.274e-17                   3.565e-17                   1.813e-16                   7.764e-16                   2.047e-15                   2.310e-15                   7.764e-16                   7.100e-16                   5.563e-16                   2.913e-15                   5.761e-16
2.209e+01                   1.896e-13                   1.973e-14                   1.513e-15                   5.353e-16                   8.450e-16                   6.233e-16                   3.704e-16                   2.463e-16                   1.710e-16                   1.456e-16                   1.255e-16                   3.651e-15                   6.966e-17                   3.830e-16                   2.477e-14                   7.055e-17                   3.454e-17                   1.812e-16                   7.762e-16                   2.042e-15                   2.303e-15                   7.766e-16                   7.101e-16                   5.575e-16                   2.941e-15                   5.736e-16
2.256e+01                   1.895e-13                   2.061e-14                   1.583e-15                   5.191e-16                   8.430e-16                   6.038e-16                   3.591e-16                   2.390e-16                   1.656e-16                   1.414e-16                   1.218e-16                   3.643e-15                   6.978e-17                   3.859e-16                   2.556e-14                   6.843e-17                   3.351e-17                   1.811e-16                   7.756e-16                   2.036e-15                   2.296e-15                   7.764e-16                   7.099e-16                   5.585e-16                   2.966e-15                   5.710e-16
2.304e+01                   1.895e-13                   2.150e-14                   1.653e-15                   5.039e-16                   8.406e-16                   5.859e-16                   3.482e-16                   2.321e-16                   1.606e-16                   1.372e-16                   1.182e-16                   3.633e-15                   6.965e-17                   3.885e-16                   2.633e-14                   6.641e-17                   3.255e-17                   1.808e-16                   7.746e-16                   2.029e-15                   2.287e-15                   7.758e-16                   7.094e-16                   5.593e-16                   2.991e-15                   5.681e-16
