E/N (Td)          Energy (eV)       Temp (K)          Mobility ()         Diffusion ()        Ionization Rate ()  
8.138e+02         1.362e+01         1.054e+05         2.736e-02         2.619e-01         6.075e-15
8.185e+02         1.368e+01         1.058e+05         2.731e-02         2.625e-01         6.152e-15
8.233e+02         1.374e+01         1.063e+05         2.727e-02         2.632e-01         6.230e-15
8.280e+02         1.380e+01         1.067e+05         2.722e-02         2.638e-01         6.309e-15
8.327e+02         1.386e+01         1.072e+05         2.718e-02         2.644e-01         6.387e-15
8.375e+02         1.391e+01         1.076e+05         2.713e-02         2.651e-01         6.466e-15
8.422e+02         1.397e+01         1.081e+05         2.709e-02         2.657e-01         6.546e-15
8.469e+02         1.403e+01         1.085e+05         2.704e-02         2.663e-01         6.625e-15
8.517e+02         1.409e+01         1.090e+05         2.700e-02         2.670e-01         6.705e-15
8.564e+02         1.415e+01         1.094e+05         2.696e-02         2.676e-01         6.785e-15
8.611e+02         1.421e+01         1.099e+05         2.691e-02         2.682e-01         6.865e-15
8.659e+02         1.426e+01         1.104e+05         2.687e-02         2.689e-01         6.946e-15
8.706e+02         1.432e+01         1.108e+05         2.683e-02         2.695e-01         7.027e-15
8.753e+02         1.438e+01         1.113e+05         2.679e-02         2.701e-01         7.108e-15
8.801e+02         1.444e+01         1.117e+05         2.675e-02         2.707e-01         7.190e-15
8.848e+02         1.450e+01         1.122e+05         2.671e-02         2.713e-01         7.272e-15
8.895e+02         1.456e+01         1.126e+05         2.667e-02         2.719e-01         7.355e-15
8.943e+02         1.461e+01         1.131e+05         2.663e-02         2.726e-01         7.437e-15
8.990e+02         1.467e+01         1.135e+05         2.658e-02         2.732e-01         7.520e-15
9.037e+02         1.473e+01         1.140e+05         2.654e-02         2.738e-01         7.603e-15
9.084e+02         1.479e+01         1.144e+05         2.650e-02         2.744e-01         7.686e-15
9.132e+02         1.485e+01         1.149e+05         2.646e-02         2.751e-01         7.770e-15
9.179e+02         1.491e+01         1.153e+05         2.642e-02         2.757e-01         7.853e-15
9.226e+02         1.496e+01         1.158e+05         2.638e-02         2.763e-01         7.936e-15
9.274e+02         1.502e+01         1.162e+05         2.634e-02         2.769e-01         8.020e-15
9.321e+02         1.508e+01         1.167e+05         2.630e-02         2.776e-01         8.105e-15
9.368e+02         1.514e+01         1.171e+05         2.626e-02         2.782e-01         8.190e-15
9.416e+02         1.520e+01         1.176e+05         2.622e-02         2.788e-01         8.274e-15
9.463e+02         1.526e+01         1.180e+05         2.618e-02         2.794e-01         8.359e-15
9.510e+02         1.531e+01         1.185e+05         2.614e-02         2.800e-01         8.445e-15
9.558e+02         1.537e+01         1.189e+05         2.610e-02         2.806e-01         8.530e-15
9.605e+02         1.543e+01         1.194e+05         2.606e-02         2.812e-01         8.616e-15
9.652e+02         1.549e+01         1.198e+05         2.603e-02         2.818e-01         8.702e-15
9.700e+02         1.555e+01         1.203e+05         2.599e-02         2.824e-01         8.789e-15
9.747e+02         1.561e+01         1.207e+05         2.595e-02         2.831e-01         8.876e-15
9.794e+02         1.566e+01         1.212e+05         2.591e-02         2.837e-01         8.962e-15
9.842e+02         1.572e+01         1.216e+05         2.587e-02         2.843e-01         9.049e-15
9.889e+02         1.578e+01         1.221e+05         2.584e-02         2.849e-01         9.136e-15
9.936e+02         1.584e+01         1.225e+05         2.580e-02         2.855e-01         9.224e-15
9.983e+02         1.590e+01         1.230e+05         2.576e-02         2.861e-01         9.312e-15
1.003e+03         1.595e+01         1.234e+05         2.573e-02         2.867e-01         9.400e-15
1.008e+03         1.601e+01         1.239e+05         2.569e-02         2.873e-01         9.489e-15
1.013e+03         1.607e+01         1.243e+05         2.566e-02         2.879e-01         9.578e-15
1.017e+03         1.613e+01         1.248e+05         2.562e-02         2.885e-01         9.666e-15
1.022e+03         1.619e+01         1.252e+05         2.559e-02         2.891e-01         9.755e-15
1.027e+03         1.625e+01         1.257e+05         2.555e-02         2.897e-01         9.844e-15
1.031e+03         1.630e+01         1.261e+05         2.552e-02         2.903e-01         9.933e-15
1.036e+03         1.636e+01         1.266e+05         2.548e-02         2.909e-01         1.002e-14
